Date,Opponent,Result,_MIN,PTS,FGM,FGA,FG,_3PM,_3PA,_3P,FTM,FTA,FT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus_Minus
2019/10/23,LAC,L,36,18,7,19,36.8,1,5,20,3,4,75,1,9,10,8,1,1,5,3,-8
2019/10/26,UTA,W,31,32,12,22,54.5,1,4,25,7,8,87.5,2,5,7,10,1,0,1,0,17
2019/10/28,CHA,W,35,20,7,14,50,1,3,33.3,5,5,100,1,5,6,12,1,0,4,0,17
2019/10/30,MEM,W,28,23,8,15,53.3,2,5,40,5,7,71.4,0,2,2,8,0,1,6,0,2
2019/11/2,DAL,W,43,39,13,23,56.5,4,9,44.4,9,11,81.8,0,12,12,16,4,1,4,5,15
2019/11/4,SAS,W,37,21,8,23,34.8,0,6,0,5,10,50,1,10,11,13,2,1,5,2,15
2019/11/6,CHI,W,35,30,10,19,52.6,2,6,33.3,8,9,88.9,0,10,10,11,2,1,2,3,17
2019/11/9,MIA,W,36,25,10,19,52.6,4,7,57.1,1,2,50,1,3,4,6,0,0,3,2,16
2019/11/11,TOR,L,35,13,5,15,33.3,0,2,0,3,6,50,3,10,13,15,0,1,2,0,-6
2019/11/13,PHX,W,37,19,8,18,44.4,1,4,25,2,7,28.6,0,7,7,11,0,0,1,0,-2
2019/11/14,GSW,W,26,23,11,21,52.4,1,5,20,0,1,0,2,4,6,12,1,1,4,1,13
2019/11/16,SAC,W,39,29,10,20,50,2,7,28.6,7,7,100,3,1,4,11,3,0,2,1,13
2019/11/18,ATL,W,33,33,13,21,61.9,6,10,60,1,1,100,0,7,7,12,1,1,0,1,30
2019/11/20,OKC,W,37,25,10,21,47.6,2,5,40,3,5,60,0,11,11,10,2,0,7,2,6
2019/11/23,OKC,W,36,23,9,20,45,1,3,33.3,4,6,66.7,1,5,6,14,1,1,5,2,3
2019/11/24,MEM,W,39,30,14,27,51.9,2,9,22.2,0,0,0,1,5,6,4,2,0,5,1,7
2019/11/26,SAS,W,35,33,13,24,54.2,4,7,57.1,3,8,37.5,1,3,4,14,0,1,3,2,6
2019/11/28,NOP,W,38,29,10,18,55.6,2,6,33.3,7,11,63.6,2,3,5,11,2,1,5,2,3
2019/11/30,WAS,W,25,23,9,16,56.3,4,8,50,1,2,50,0,3,3,11,2,1,6,1,20
2019/12/2,DAL,L,36,25,11,20,55,0,5,0,3,3,100,0,9,9,8,4,0,6,3,-16
2019/12/4,DEN,W,37,25,9,18,50,1,4,25,6,6,100,2,4,6,9,0,0,4,3,4
2019/12/5,UTA,W,29,20,9,21,42.9,1,6,16.7,1,1,100,0,4,4,12,1,0,1,3,14
2019/12/7,POR,W,34,31,11,23,47.8,4,9,44.4,5,7,71.4,1,6,7,8,0,1,3,1,21
2019/12/9,MIN,W,28,32,12,20,60,6,8,75,2,2,100,1,3,4,13,1,0,5,4,24
2019/12/12,ORL,W,38,25,11,24,45.8,1,6,16.7,2,5,40,2,9,11,10,2,0,6,2,8
2019/12/14,MIA,W,37,28,11,22,50,4,8,50,2,4,50,2,7,9,12,1,0,8,2,9
2019/12/16,ATL,W,37,32,12,21,57.1,4,10,40,4,7,57.1,1,12,13,7,1,3,4,1,10
2019/12/18,IND,L,35,20,8,20,40,0,6,0,4,8,50,1,8,9,9,0,0,5,2,-9
2019/12/20,MIL,L,37,21,8,19,42.1,3,7,42.9,2,2,100,0,12,12,11,0,0,4,5,-14
2019/12/26,LAC,L,39,23,9,24,37.5,2,12,16.7,3,4,75,3,6,9,10,2,1,2,3,3
2019/12/29,POR,W,37,21,7,15,46.7,1,4,25,6,8,75,1,6,7,16,2,1,1,2,5
2019/12/30,DAL,W,34,13,3,10,30,2,4,50,5,6,83.3,0,6,6,13,2,0,2,2,5
2020/1/2,PHX,W,38,31,11,21,52.4,1,4,25,8,12,66.7,2,11,13,12,2,1,5,0,18
2020/1/4,NOP,W,37,17,7,17,41.2,1,3,33.3,2,5,40,0,8,8,15,2,0,2,1,17
2020/1/6,DET,W,35,21,10,21,47.6,0,3,0,1,2,50,3,11,14,11,0,0,3,2,23
2020/1/8,NYK,W,31,31,9,19,47.4,6,12,50,7,7,100,0,5,5,5,2,1,4,2,26
2020/1/11,DAL,W,32,35,14,25,56,3,6,50,4,5,80,2,14,16,7,1,0,3,0,13
2020/1/14,CLE,W,33,31,12,16,75,1,3,33.3,6,7,85.7,0,2,2,8,1,0,3,2,19
2020/1/16,ORL,L,36,19,7,19,36.8,2,9,22.2,3,5,60,0,3,3,19,1,0,5,1,-9
2020/1/19,HOU,W,35,31,13,25,52,2,7,28.6,3,5,60,0,5,5,12,2,0,6,3,2
2020/1/21,BOS,L,29,15,5,12,41.7,0,2,0,5,5,100,3,4,7,13,0,0,4,1,-21
2020/1/23,NYK,W,36,21,9,16,56.3,2,5,40,1,3,33.3,0,6,6,5,5,0,4,0,13
2020/1/24,BKN,W,34,27,11,19,57.9,3,6,50,2,2,100,2,9,11,10,1,1,5,0,26
2020/1/26,PHI,L,35,29,9,18,50,1,6,16.7,10,13,76.9,0,7,7,8,1,0,8,3,-22
2020/2/1,POR,L,38,22,9,22,40.9,3,8,37.5,1,4,25,2,6,8,10,0,1,5,2,7
2020/2/2,SAC,W,34,15,6,15,40,1,4,25,2,3,66.7,0,10,10,11,2,0,2,3,33
2020/2/5,SAS,W,34,36,12,20,60,6,9,66.7,6,9,66.7,1,6,7,9,1,0,2,1,20
