Date,Opponent,Result,Point_Lakers,Point_Opp,Location
2019/10/23,LAC,L,102,112,Staples Center
2019/10/26,UTA,W,95,86,Staples Center
2019/10/28,CHA,W,120,101,Staples Center
2019/10/30,MEM,W,120,91,Staples Center
2019/11/2,DAL,W,119,110,American Airlines Center
2019/11/4,SAS,W,103,96,AT&T Center
2019/11/6,CHI,W,118,112,United Center
2019/11/9,MIA,W,95,80,Staples Center
2019/11/11,TOR,L,104,113,Staples Center
2019/11/13,PHX,W,123,115,Talking Stick Resort Arena
2019/11/14,GSW,W,120,94,Staples Center
2019/11/16,SAC,W,99,97,Staples Center
2019/11/18,ATL,W,122,101,Staples Center
2019/11/20,OKC,W,112,107,Staples Center
2019/11/23,OKC,W,130,127,Chesapeake Energy Arena
2019/11/24,MEM,W,109,108,FedExForum
2019/11/26,SAS,W,114,104,AT&T Center
2019/11/28,NOP,W,114,110,Smoothie King Center
2019/11/30,WAS,W,125,103,Staples Center
2019/12/2,DAL,L,100,114,Staples Center
2019/12/4,DEN,W,105,96,Pepsi Center
2019/12/5,UTA,W,121,96,Vivint Smart Home Arena
2019/12/7,POR,W,136,113,Moda Center
2019/12/9,MIN,W,142,125,Staples Center
2019/12/12,ORL,W,96,87,Amway Center
2019/12/14,MIA,W,113,110,American Airlines Arena
2019/12/16,ATL,W,101,96,State Farm Arena
2019/12/18,IND,L,102,105,Bankers Life Fieldhouse
2019/12/20,MIL,L,104,111,Fiserv Forum
2019/12/23,DEN,L,104,128,Staples Center
2019/12/26,LAC,L,106,111,Staples Center
2019/12/29,POR,W,128,120,Moda Center
2019/12/30,DAL,W,108,95,Staples Center
2020/1/2,PHX,W,117,107,Staples Center
2020/1/4,NOP,W,123,113,Staples Center
2020/1/6,DET,W,106,99,Staples Center
2020/1/8,NYK,W,117,87,Staples Center
2020/1/11,DAL,W,129,114,American Airlines Center
2020/1/12,OKC,W,125,110,Chesapeake Energy Arena
2020/1/14,CLE,W,128,99,Staples Center
2020/1/16,ORL,L,118,119,Staples Center
2020/1/19,HOU,W,124,115,Toyota Center
2020/1/21,BOS,L,107,139,TD Garden
2020/1/23,NYK,W,100,92,Madison Square Garden
2020/1/24,BKN,W,128,113,Barclays Center
2020/1/26,PHI,L,91,108,Wells Fargo Center
2020/2/1,POR,L,119,127,Staples Center
2020/2/2,SAC,W,129,113,Golden 1 Center
2020/2/5,SAS,W,129,102,Staples Center
2020/2/7,HOU,L,111,121,Staples Center
2020/2/9,GSW,W,125,120,Chase Center
2020/2/11,PHX,W,125,100,Staples Center
2020/2/13,DEN,W,120,116,Pepsi Center
2020/2/22,MEM,W,117,105,Staples Center
2020/2/24,BOS,W,114,112,Staples Center
2020/2/26,NOP,W,118,109,Staples Center
2020/2/28,GSW,W,116,86,Chase Center
2020/3/1,MEM,L,88,105,FedExForum
2020/3/2,NOP,W,122,114,Smoothie King Center
2020/3/4,PHI,W,120,107,Staples Center
2020/3/7,MIL,W,113,103,Staples Center
2020/3/9,LAC,W,112,103,Staples Center
2020/3/11,BKN,L,102,104,Staples Center
2020/7/31,LAC,W,103,101,AdventHealth Arena
2020/8/2,TOR,L,92,107,AdventHealth Arena
2020/8/4,UTA,W,116,108,AdventHealth Arena
2020/8/6,OKC,L,86,105,The Field House
2020/8/7,HOU,L,97,113,AdventHealth Arena
2020/8/9,IND,L,111,116,The Field House
2020/8/11,DEN,W,124,121,AdventHealth Arena
2020/8/14,SAC,L,122,136,The Field House
