Player,Team,G,PTS,FGM,FG,_3P,FT,OREB,DREB,REB,AST,STL,TOV,PF
Alex Caruso,LAL,64,5.5,1.9,41.2,33.3,73.4,0.3,1.7,1.9,1.9,1.1,0.8,1.5
Anthony Davis,LAL,62,26.1,8.9,50.3,33,84.6,2.3,7,9.3,3.2,1.5,2.5,2.5
Avery Bradley,LAL,49,8.6,3.5,44.4,36.4,83.3,0.4,2,2.3,1.3,0.9,1,2.2
Danny Green,LAL,68,8,2.9,41.6,36.7,68.8,0.8,2.6,3.3,1.3,1.3,0.9,2
Devontae Cacok,LAL,1,6,3,50,0,0,2,3,5,1,0,0,0
Dion Waiters,LAL,7,11.9,4.4,42.5,23.3,87.5,0.3,1.6,1.9,2.4,0.6,1.9,2.3
Dwight Howard,LAL,69,7.5,2.9,72.9,60,51.4,2.5,4.9,7.3,0.7,0.4,1.2,3.2
JR Smith,LAL,6,2.8,1.2,31.8,9.1,100,0,0.8,0.8,0.5,0.2,0.7,0.8
JaVale McGee,LAL,68,6.6,2.9,63.7,50,64.6,1.8,3.9,5.7,0.5,0.5,0.8,2.3
Jared Dudley,LAL,45,1.5,0.5,40,42.9,100,0.1,1,1.2,0.6,0.3,0.2,0.9
Kentavious Caldwell-Pope,LAL,69,9.3,3.4,46.7,38.5,77.5,0.6,1.5,2.1,1.6,0.8,0.9,1.9
Kostas Antetokounmpo,LAL,5,1.4,0.6,100,0,50,0.4,0.2,0.6,0.4,0,0.2,0.4
Kyle Kuzma,LAL,61,12.8,4.8,43.6,31.6,73.5,0.9,3.6,4.5,1.3,0.5,1.5,2.1
LeBron James,LAL,67,25.3,9.6,49.3,34.8,69.3,1,6.9,7.8,10.2,1.2,3.9,1.8
Markieff Morris,LAL,14,5.3,2,40.6,33.3,83.3,1.1,2.1,3.2,0.6,0.4,0.4,2.1
Quinn Cook,LAL,44,5.1,2.1,42.5,36.5,78.6,0.3,0.9,1.2,1.1,0.3,0.8,0.6
Rajon Rondo,LAL,48,7.1,2.9,41.8,32.8,65.9,0.5,2.5,3,5,0.8,1.9,1.2
Talen Horton-Tucker,LAL,6,5.7,2.3,46.7,30.8,50,0.3,0.8,1.2,1,1.3,1,1.7
Troy Daniels,LAL,41,4.2,1.5,39.2,35.7,62.5,0.3,0.8,1.1,0.3,0.2,0.2,0.7
