Team,G,FG,_3P,FT,OREB,DREB,PPG,RPG,APG,TOV,SPG,BPG,PF
MIL,73,47.6,35.5,74.2,9.5,42.2,118.7,51.7,25.9,15.1,7.2,5.9,19.6
HOU,72,45.1,34.5,79.1,9.8,34.5,117.8,44.3,21.6,14.7,8.7,5.2,21.8
DAL,75,46.1,36.7,77.9,10.5,36.4,117,46.9,24.7,12.7,6.1,4.8,19.5
LAC,72,46.6,37.1,79.1,10.7,37,116.3,47.7,23.7,14.6,7.1,4.7,22.1
NOP,72,46.5,37,72.9,11.1,35.4,115.8,46.5,26.8,16.4,7.5,5,21.2
POR,74,46.3,37.7,80.4,10.2,35.1,115,45.3,20.6,12.8,6.3,6.1,21.7
WAS,72,45.7,36.8,78.8,10.2,31.9,114.4,42,25,14.2,8,4.3,22.7
SAS,71,47.2,37.6,81,9,35.6,114.1,44.6,24.7,12.6,7.3,5.5,19.4
BOS,72,46.1,36.4,80.1,10.7,35.4,113.7,46.1,23,13.8,8.3,5.6,21.6
PHX,73,46.8,35.8,83.4,9.8,33.8,113.6,43.5,27.2,14.8,7.7,4,22
LAL,71,48,34.9,72.9,10.7,35.1,113.4,45.7,25.4,15.2,8.6,6.6,20.7
MIN,64,44.1,33.6,75.3,10.5,34.3,113.3,44.8,23.8,15.3,8.7,5.7,21.4
TOR,72,45.8,37.4,79.6,9.5,35.9,112.8,45.4,25.2,14.8,8.8,5,21.7
MEM,73,46.8,34.7,76.3,10.3,36.2,112.6,46.5,26.9,15.2,7.9,5.5,21.2
MIA,73,46.8,37.9,78.3,8.5,35.9,112,44.4,25.9,14.9,7.5,4.5,20.6
ATL,67,44.9,33.3,79,9.9,33.4,111.8,43.3,24,16.2,7.8,5.1,23.1
BKN,72,44.8,34.3,74.5,10.6,37.3,111.8,47.9,24.5,15.3,6.4,4.5,21
UTA,72,47.1,38,77.9,9.1,35.8,111.3,44.9,22.4,15.1,6.1,4.1,20.4
DEN,73,47.3,35.9,77.7,10.8,33.4,111.3,44.1,26.7,13.8,8,4.6,20.3
PHI,73,46.8,36.8,75.5,10.5,35,110.7,45.4,25.8,14.2,8,5.3,20.9
OKC,72,46.8,35.5,79.6,8.2,34.7,110.4,42.9,21.7,13.7,7.6,4.9,19.3
SAC,72,46.2,36.4,77,9.7,32.9,110.1,42.6,23.8,14.5,7.7,4.1,22.2
IND,73,47.6,36.3,78.7,8.7,34.1,109.4,42.8,25.9,13.2,7.4,5.2,19.8
ORL,73,44.4,34.3,77.4,10.3,34.2,107.3,44.5,23.9,12.8,8.2,5.4,18.3
DET,66,45.9,36.7,74.3,9.8,32,107.2,41.7,24.1,15.3,7.4,4.5,19.7
CLE,65,45.8,35.1,75.8,10.8,33.4,106.9,44.2,23.1,16.5,6.9,3.2,18.3
CHI,65,44.7,34.8,75.5,10.5,31.4,106.8,41.9,23.2,15.5,10,4.1,21.8
GSW,65,43.8,33.4,80.3,10,32.9,106.3,42.8,25.6,14.9,8.2,4.6,20.1
NYK,66,44.7,33.7,69.4,12,34.5,105.8,46.5,22.1,14.3,7.6,4.7,22.2
CHA,65,43.4,35.2,74.8,11,31.8,102.9,42.8,23.8,14.6,6.6,4.1,18.8
